shot_noise,read_noise,uniform_noise,row_noise,row_noise_temp,periodic0,periodic1,periodic2
0.29876312216122947,0.21659348234534265,0.7083764751752217,0.48399345378081005,0.4867892861366272,0.45678778092066447,0.4911586453517278,0.4974517772595088
0.29978705445925397,0.21791727170348169,0.7089213689168294,0.48405188918113706,0.4869267612695694,0.4569602429866791,0.49128558735052746,0.4975905110438665
0.29996063659588496,0.21789437035719553,0.7083370288213094,0.48407330612341565,0.487048801779747,0.45703930656115216,0.4913927257061005,0.49758799374103546
0.2998304153482119,0.2180514544248581,0.7086171746253968,0.4841358949740728,0.48702170252799987,0.4569736659526825,0.49135938882827757,0.49757906297842663
0.30040591607491174,0.2187414179245631,0.7090665936470032,0.48429117997487386,0.48718685607115425,0.45710610747337344,0.49150630136330925,0.4977250317732493
0.2977211117744446,0.2156402272482713,0.7074998299280802,0.4841683705647786,0.4866257240374883,0.4566309611002604,0.4910640945037206,0.4972198436657588
0.29735347082217534,0.21494556814432145,0.7078039288520813,0.4841967751582464,0.4867126782735189,0.4566633701324463,0.4911467681328456,0.4973745346069336
0.2982962782184283,0.21580886567632357,0.7084420621395111,0.48416740298271177,0.486735533674558,0.45678108831246694,0.49124786257743835,0.497456623117129
0.29939673145612083,0.21744207615653674,0.7081264237562815,0.4841030647357305,0.48713207642237344,0.45697816809018454,0.49136915504932405,0.4975230028231939
0.29820136974255246,0.21598226800560952,0.708701636393865,0.484106183052063,0.4867968718210856,0.45671436985333763,0.49121557573477426,0.49743924935658773
0.29946693976720173,0.21764088695247968,0.709134437640508,0.48416263262430825,0.4872386246919632,0.45695467889308927,0.4914386530717214,0.4976980904738108
0.30001341104507445,0.21795576537648836,0.7087446987628937,0.4841376523176829,0.48715529243151345,0.4570531964302063,0.4913902183373769,0.4976302961508433
0.29938028007745743,0.2177121338744958,0.7080779552459717,0.4841077218453089,0.4871777425209681,0.45690624316533407,0.49130958517392476,0.49748589595158893
